route_long_name,route_short_name,agency_id,route_type,route_id
10th Cross Lingadhiranahalli ⇔ 10th Cross Magadi Road,Vivek_Test14,1,3,Vivek_Test14
11th Block Anjanapura ⇔ Vidhana Soudha,215-NE,1,3,215-NE ANP11-KMT-VSD
11th Block Anjanapura ⇔ Vidhana Soudha,215-NE,1,3,215-NE ANP11-MNRV-VSD
1st Block Vishweshwaraiah Layout ⇔ Kengeri Bus Station,VLO1-KGR,1,3,VLO1-KGR
2nd stage Kuvempunagara ⇔ Jalahalli East,2KVP-JHE,1,3,2KVP-JHE
5th Phase Yelahanka New Town ⇔ Doddaballapura Bus Stand,285-MC,1,3,285-MC YSTF-NES-DBP
5th Phase Yelahanka New Town ⇔ Hosakote Bus Stand (Old),280-F,1,3,280-F YSTF-HSK
5th Phase Yelahanka New Town ⇔ KR Pura Govt Hospital,507-D,1,3,507-D
5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,402-B,1,3,402-B YSTF-VSD-SBS
5th Phase Yelahanka New Town ⇔ Shivajinagara Bus Station,G-9 SBS-YSTF,1,3,G-9 SBS-YSTF
80 feet Road Kalyananagara ⇔ Shivajinagara Bus Station,302 KLN-SBS,1,3,302 KLN-SBS
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7C,1,3,BC-7C
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli,BC-7CA,1,3,BC-7CA
8th Mile Dasarahalli ⇔ 8th Mile Dasarahalli Arrival,250-DD,1,3,250-DD
8th Mile Dasarahalli ⇔ BEML Layout 5th stage,515-B,1,3,515-B BEML5-8TH MILE
8th Mile Dasarahalli ⇔ Byadarahalli,BC-7B,1,3,BC-7B
8th Mile Dasarahalli ⇔ Depot-31 Gate,8THM-D315,1,3,8THM-D315
8th Mile Dasarahalli ⇔ Gangondanahalli,BC-7E,1,3,BC-7E
8th Mile Dasarahalli ⇔ Herohalli Cross,BC-7H,1,3,BC-7H
8th Mile Dasarahalli ⇔ KR Market (Kalasipalya),BC-7B,1,3,BC-7B 8thM-KMT
8th Mile Dasarahalli ⇔ Kachohalli Gate,BC-7K,1,3,BC-7K
8th Mile Dasarahalli ⇔ Suvarna Nagara,MF-25A,1,3,MF-25A
8th Mile Dasarahalli ⇔ Thippennahalli,MF-25,1,3,MF-25
9th Block Jayanagara (40th Cross) ⇔ Chandra Layout,60-A CLO-JNN,1,3,60-A CLO-JNN
9th Block Jayanagara (40th Cross) ⇔ Nagarabhavi Circle,60A-MDP-NBC,1,3,60A-MDP-NBC
9th Block Jayanagara (40th Cross) ⇔ Panchasheela Nagara,237-J,1,3,237-J
9th Block Jayanagara (40th Cross) ⇔ Sanjay Gandhi Hospital,J9THB-SGH,1,3,J9THB-SGH
9th Block Jayanagara (40th Cross) ⇔ Vittal Nagara,60-A JNN-VTN,1,3,60-A JNN-VTN
ADMC Quarters Office ⇔ KR Pura Govt Hospital,300-E,1,3,300-E ADMC-KRPGH
AECS Layout Singasandra ⇔ KR Market (Kalasipalya),347-K,1,3,347-K
AECS Layout Singasandra ⇔ Kempegowda Bus Station,347-N,1,3,347-N
AGS Layout Cross ⇔ Kempegowda Bus Station,45-G,1,3,45-G AGSLC-KBS
Abbigere ⇔ Peenya 2nd stage,401-AK,1,3,401-AK ABG-PSS
Acharya Institute of Technology ⇔ KR Market,V-250SB,1,3,V-250SB
Adishwara Bombay Dying ⇔ Yelahanka Old Town,401,1,3,401 ABDYNG-YHK
Agara Junction ⇔ Agara Junction,HSR FDR-1,1,3,HSR FDR-1
Agara Junction ⇔ Agara Junction,HSR FDR-1A,1,3,HSR FDR-1A
Agrahara Layout ⇔ KR Market,291-JA,1,3,291-JA
Agrahara Layout ⇔ Kempegowda Bus Station,291-JA,1,3,291-JA KBS-ALO
Agrahara Layout ⇔ Shivajinagara Bus Station,290-F,1,3,290-F
Airtel office Koramangala ⇔ Sarjapura,G-2 ATO-SJP,1,3,G-2 ATO-SJP
Aliaskar Embassy ⇔ MG Road Metro Station,AAE-MGRMS,1,3,AAE-MGRMS
Allalasandra ⇔ Kempegowda Bus Station,284-E,1,3,284-E ALS-KBS
Allalasandra ⇔ Puttenahalli,ALS-PTH,1,3,ALS-PTH
Alphine Apartment ⇔ Shivajinagara Bus Station,ALP-SBS,1,3,ALP-SBS
Aluru BDA 1st Stage ⇔ Depot-40 Gate,255-AE-ALRBDA-D40G,1,3,255-AE-ALRBDA-D40G
Aluru BDA 2nd Stage ⇔ Kempegowda Bus Station,255-AE,1,3,255-AE ALRB2-VSD-KBS
Anekal ⇔ Bannerughatta Circle,365-Z,1,3,365-Z
Anekal ⇔ Central Silk Board,600-CA,1,3,600-CA ANK-CSB
Anekal ⇔ Chikka Thirupathi,399-C,1,3,399-C
Anekal ⇔ Chinnaiahnapalya,366-Z,1,3,366-Z ANK-CNP
Anekal ⇔ Depot-38 Gate,356 ANK-D38G,1,3,356 ANK-D38G
Anekal ⇔ Depot-42 Gate  Arrival,3F-1,1,3,3F-1 D42G-ANK
Anekal ⇔ Hosakote Bus Stand (Old),399-D,1,3,399-D HSK-CPR-ANK
Anekal ⇔ Lakkur,399-C,1,3,399-C ANK-LKR
Anekal ⇔ Menashiganahalli,356-ZB,1,3,356-ZB
Anekal ⇔ Sarjapura,3F-1,1,3,3F-1
Anekal ⇔ Sarjapura,3F-5,1,3,3F-5
Anjanamurthy ⇔ KR Market,AJM-KMT,1,3,AJM-KMT
Anjanapura 10 Block ⇔ Chandapura,398-B,1,3,398-B D44G-BGT-CPR
Anjanapura 10 Block ⇔ Electronic City 378,378-E,1,3,378-E D44G-ELC
